#Metadata;Text;Sound;Color (ARGB);Minimap icon
#Example Metadata/Monsters/Exiles/ExileRanger1; Orra Greengate;danger.wav
#Example Metadata/Monsters/Exiles/ExileRanger1; Orra Greengate;danger.wav;FFFF0000
#Example Metadata/Monsters/Exiles/ExileRanger1; Orra Greengate;;FFFF0000
#Example Metadata/Monsters/Exiles/ExileRanger1; Orra Greengate;danger.wav;FFFF0000;dot_orange.png
#Example Metadata/Monsters/Exiles/ExileRanger1; Orra Greengate;;;dot_orange.png

Metadata/Monsters/Exiles/ExileRanger1; Orra Greengate;danger.wav
Metadata/Monsters/Exiles/ExileRanger2; Thena Moga
Metadata/Monsters/Exiles/ExileRanger3; Antalie Napora
Metadata/Monsters/Exiles/ExileDuelist1; Torr Olgosso
Metadata/Monsters/Exiles/ExileDuelist2; Armios Bell
Metadata/Monsters/Exiles/ExileDuelist4; Zacharie Desmarais
Metadata/Monsters/Exiles/ExileWitch1; Minara Anenima
Metadata/Monsters/Exiles/ExileWitch2; Igna Phoenix
Metadata/Monsters/Exiles/ExileMarauder1; Jonah Unchained
Metadata/Monsters/Exiles/ExileMarauder2; Damoi Tui
Metadata/Monsters/Exiles/ExileMarauder3; Xandro Blooddrinker
Metadata/Monsters/Exiles/ExileMarauder5; Vickas Giantbone
Metadata/Monsters/Exiles/ExileTemplar1; Eoin Greyfur
Metadata/Monsters/Exiles/ExileTemplar2; Tinevin Highdove
Metadata/Monsters/Exiles/ExileTemplar4; Magnus Stonethorn
Metadata/Monsters/Exiles/ExileShadow1_; Ion Darkshroud
Metadata/Monsters/Exiles/ExileShadow2; Ash Lessard
Metadata/Monsters/Exiles/ExileShadow4; Wilorin Demontamer
Metadata/Monsters/Exiles/ExileScion2; Augustina Solaria
Metadata/Monsters/Squid/SquidBossSideArea; The All-seeing Eye
Metadata/Monsters/Goatman/GoatmanLeapBossSideArea; Konu, Maker of Wind
Metadata/Monsters/GhostPirates/GhostPirateBossSideArea; Coniraya, Shadow of Malice
Metadata/Monsters/DemonModular/DemonModularElementsBossSideArea; Atziri's Pride
Metadata/Monsters/Goatman/GoatmanShamanBossSideArea; Sheaq, Maker of Floods
Metadata/Monsters/Skeleton/SkeletonMeleeLargeBossSideArea; Ossecati, Boneshaper
Metadata/Monsters/RootSpiders/RootSpiderBossSideArea; Kamaq, Soilmaker
Metadata/Monsters/Kiweth/KiwethBossSideArea; Inti of the Blood Moon
Metadata/Monsters/incaminion/FragmentBossSideArea; Shrapnelbearer
Metadata/Monsters/Snake/SnakeRoboBossSideArea; Wiraqucha, Ancient Guardian
Metadata/Monsters/DemonFemale/WhipDemonBossSideArea; Cava, Artist of Pain
Metadata/Monsters/Pyromaniac/PyromaniacBossSideArea; Curator Miem
Metadata/Monsters/BloodChieftain/MonkeyChiefBossSideArea; Simi, the Nature Touched
Metadata/Monsters/InsectSpawner/CarrionQueenBossSideArea; The Sunburst Queen
Metadata/Monsters/Totems/TotemBossSideArea; M'gaska, the Living Pyre
Metadata/Monsters/Spiders/SpiderBossSideArea; Cintiq, the Inescapable
Metadata/Monsters/Snake/SnakeScorpionBossSideArea; Thornrunner
